특성별(1),특성별(2),특성별(3),특성별(4),시점,영업시간및일수별(1),영업시간및일수별(2),원데이터,전년 대비 증감,증감률
지역별,경남권,소계,소계,2021,한달 영업일수,27~28일 (%),14.9,-3.9,-20.7
지역별,경남권,소계,소계,2021,한달 영업일수,29~30일 (%),48.2,3.7,8.3
지역별,경남권,소계,소계,2021,한달 영업일수,평균 (일),27.7,0,0
지역별,경북권,소계,소계,2021,1일 영업시간,12시간 미만 (%),69.6,3.9,5.9
지역별,경북권,소계,소계,2021,1일 영업시간,12시간 (%),17.4,-3.1,-15.1
지역별,경북권,소계,소계,2021,1일 영업시간,12시간 초과 (%),13,-0.8,-5.8
지역별,경북권,소계,소계,2021,1일 영업시간,평균 (h),10.1,-0.4,-3.8
지역별,경북권,소계,소계,2021,한달 영업일수,24일 이하 (%),5.8,1.7,41.5
지역별,경북권,소계,소계,2021,한달 영업일수,25~26일 (%),41.9,4.8,12.9
지역별,경북권,소계,소계,2021,한달 영업일수,27~28일 (%),17.8,-4.4,-19.8
지역별,경북권,소계,소계,2021,한달 영업일수,29~30일 (%),34.5,-2.1,-5.7
지역별,경북권,소계,소계,2021,한달 영업일수,평균 (일),27.4,-0.2,-0.7
매출액규모별,5천만원 미만,소계,소계,2021,1일 영업시간,12시간 미만 (%),67.6,-8.1,-10.7
매출액규모별,5천만원 미만,소계,소계,2021,1일 영업시간,12시간 (%),20.6,4.9,31.2
매출액규모별,5천만원 미만,소계,소계,2021,1일 영업시간,12시간 초과 (%),11.8,3.2,37.2
매출액규모별,5천만원 미만,소계,소계,2021,1일 영업시간,평균 (h),10,0.3,3.1
매출액규모별,5천만원 미만,소계,소계,2021,한달 영업일수,24일 이하 (%),6.7,-3.2,-32.3
매출액규모별,5천만원 미만,소계,소계,2021,한달 영업일수,25~26일 (%),44.1,7.1,19.2
매출액규모별,5천만원 미만,소계,소계,2021,한달 영업일수,27~28일 (%),12.3,-1.6,-11.5
매출액규모별,5천만원 미만,소계,소계,2021,한달 영업일수,29~30일 (%),37,-2.2,-5.6
매출액규모별,5천만원 미만,소계,소계,2021,한달 영업일수,평균 (일),27.4,0.4,1.5
매출액규모별,5천만원~1억원 미만,소계,소계,2021,1일 영업시간,12시간 미만 (%),70.7,2.4,3.5
매출액규모별,5천만원~1억원 미만,소계,소계,2021,1일 영업시간,12시간 (%),18.8,-0.4,-2.1
매출액규모별,5천만원~1억원 미만,소계,소계,2021,1일 영업시간,12시간 초과 (%),10.4,-2.1,-16.8
매출액규모별,5천만원~1억원 미만,소계,소계,2021,1일 영업시간,평균 (h),10,-0.3,-2.9
매출액규모별,5천만원~1억원 미만,소계,소계,2021,한달 영업일수,24일 이하 (%),7.7,1.9,32.8
